word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_raw,,,,,,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,128.42669677734375,94.84892272949219, 105.24874114990234, 123.57769775390625, 136.2415008544922, 148.1394805908203, 162.50381469726562,25.687009568164427,, , 123.57769850000022, , , ,128.42669677734375,94.84892272949219, 105.24874114990234, 123.57769775390625, 136.2415008544922, 148.1394805908203, 162.50381469726562,25.687009568164427,, , 123.57769850000022, , , ,128.42669677734375,94.84892272949219, 105.24874114990234, 123.57769775390625, 136.2415008544922, 148.1394805908203, 162.50381469726562,25.687009568164427,, , 123.57769850000022, , , ,128.42669677734375,94.84892272949219, 105.24874114990234, 123.57769775390625, 136.2415008544922, 148.1394805908203, 162.50381469726562,25.687009568164427,, , 123.57769850000022, , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.004633379999935035,0.006191080000462534, 0.005295679999107961, 0.006536679999953776, 0.0034554799995021312, 0.004359479999948235, 0.001961880000635574,, , , , , ,0.8763799667358398,0.9084283113479614, 0.9737817049026489, 0.9591693878173828, 0.7231926918029785, 0.7733865976333618, 0.9203208088874817,0.10331801016545061,-0.19907407407407407, -0.23981481481481481, -0.19722222222222222, -0.2537037037037037, -0.20462962962962963, -0.25555555555555554,-0.1824074074074074, -0.1962962962962963, -0.18425925925925926, -0.15925925925925927, -0.1648148148148148, -0.175,128.42669677734375,94.84892272949219, 105.24874114990234, 123.57769775390625, 136.2415008544922, 148.1394805908203, 162.50381469726562,25.687009568164427,, , 123.57769850000022, , , ,8.0, 23.0, 46.0, 61.0, 77.0, 94.0
قرمز,blue,0,imgBlue,6.0,124.69730631510417,97.8651123046875, 104.51560974121094, 113.02887725830078, 127.62895202636719, 143.4071807861328, 161.73806762695312,24.470764992236635,, , , , , ,124.69730631510417,97.8651123046875, 104.51560974121094, 113.02887725830078, 127.62895202636719, 143.4071807861328, 161.73806762695312,24.470764992236635,, , , , , ,124.69730631510417,97.8651123046875, 104.51560974121094, 113.02887725830078, 127.62895202636719, 143.4071807861328, 161.73806762695312,24.470764992236635,, , , , , ,124.69730631510417,97.8651123046875, 104.51560974121094, 113.02887725830078, 127.62895202636719, 143.4071807861328, 161.73806762695312,24.470764992236635,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0071431033331161116,0.004552279999188613, 0.010202579999713635, 0.004144579999774578, 0.015126320000490523, 0.00516267999955744, 0.0036701799999718787,, , , , , ,0.7005386352539062,0.706506073474884, 0.7115938067436218, 0.6210700273513794, 0.783570408821106, 0.6412836909294128, 0.7392081022262573,0.06061986193005234,-0.07222222222222222, -0.09722222222222222, -0.0787037037037037, -0.11203703703703703, -0.1111111111111111, -0.10740740740740741,-0.1787037037037037, -0.18518518518518517, -0.18333333333333332, -0.16666666666666666, -0.18888888888888888, -0.16666666666666666,124.69730631510417,97.8651123046875, 104.51560974121094, 113.02887725830078, 127.62895202636719, 143.4071807861328, 161.73806762695312,24.470764992236635,, , , , , ,12.0, 22.0, 33.0, 50.0, 71.0, 93.0
قرمز,green,0,imgGreen,6.0,124.66405232747395,99.13125610351562, 109.31555938720703, 113.68207550048828, 134.12548828125, 141.07420349121094, 150.65576171875,20.211306351568204,, , , , , ,124.66405232747395,99.13125610351562, 109.31555938720703, 113.68207550048828, 134.12548828125, 141.07420349121094, 150.65576171875,20.211306351568204,, , , , , ,124.66405232747395,99.13125610351562, 109.31555938720703, 113.68207550048828, 134.12548828125, 141.07420349121094, 150.65576171875,20.211306351568204,, , , , , ,124.66405232747395,99.13125610351562, 109.31555938720703, 113.68207550048828, 134.12548828125, 141.07420349121094, 150.65576171875,20.211306351568204,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00533814666626616,0.0034501799991630833, 0.004151679999267799, 0.009759679999660875, 0.00018248000014864374, 0.0047205799992298125, 0.009764280000126746,, , , , , ,0.6718900998433431,0.5713644027709961, 0.6257544755935669, 0.6304848194122314, 0.5678067207336426, 0.5738314986228943, 1.0620982646942139,0.1932146784490587,0.07314814814814814, 0.032407407407407406, 0.05925925925925926, 0.04722222222222222, 0.03425925925925926, 0.04259259259259259,-0.19537037037037036, -0.17592592592592593, -0.1787037037037037, -0.18796296296296297, -0.20555555555555555, -0.18425925925925926,124.66405232747395,99.13125610351562, 109.31555938720703, 113.68207550048828, 134.12548828125, 141.07420349121094, 150.65576171875,20.211306351568204,, , , , , ,14.0, 28.0, 34.0, 58.0, 68.0, 80.0
قرمز,yellow,0,imgYellow,6.0,124.7769266764323,96.56507110595703, 107.0298843383789, 115.8949966430664, 131.64227294921875, 144.07362365722656, 153.45567321777344,22.053212847981882,, , , , , ,124.7769266764323,96.56507110595703, 107.0298843383789, 115.8949966430664, 131.64227294921875, 144.07362365722656, 153.45567321777344,22.053212847981882,, , , , , ,124.7769266764323,96.56507110595703, 107.0298843383789, 115.8949966430664, 131.64227294921875, 144.07362365722656, 153.45567321777344,22.053212847981882,, , , , , ,124.7769266764323,96.56507110595703, 107.0298843383789, 115.8949966430664, 131.64227294921875, 144.07362365722656, 153.45567321777344,22.053212847981882,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006346829999680874,0.0038180799992915126, 0.006868880000183708, 0.0048826799993548775, 0.011389979999876232, 0.004069479999998293, 0.007051879999380617,, , , , , ,0.7456016540527344,0.689532995223999, 0.7091420292854309, 0.6794729828834534, 0.797705888748169, 0.6892219185829163, 0.9085342884063721,0.09086976292904078,0.17777777777777778, 0.18333333333333332, 0.1648148148148148, 0.18333333333333332, 0.17777777777777778, 0.1712962962962963,-0.17685185185185184, -0.17222222222222222, -0.1787037037037037, -0.18981481481481483, -0.19444444444444445, -0.17314814814814813,124.7769266764323,96.56507110595703, 107.0298843383789, 115.8949966430664, 131.64227294921875, 144.07362365722656, 153.45567321777344,22.053212847981882,, , , , , ,10.0, 25.0, 37.0, 55.0, 72.0, 83.0
آبی,red,0,imgRed,6.0,124.30485026041667,92.41564178466797, 107.76332092285156, 121.5442123413086, 129.94268798828125, 142.42425537109375, 151.73898315429688,21.958572973694583,, , , , , ,124.30485026041667,92.41564178466797, 107.76332092285156, 121.5442123413086, 129.94268798828125, 142.42425537109375, 151.73898315429688,21.958572973694583,, , , , , ,124.30485026041667,92.41564178466797, 107.76332092285156, 121.5442123413086, 129.94268798828125, 142.42425537109375, 151.73898315429688,21.958572973694583,, , , , , ,124.30485026041667,92.41564178466797, 107.76332092285156, 121.5442123413086, 129.94268798828125, 142.42425537109375, 151.73898315429688,21.958572973694583,, , , , , ,'imgRed', 'imgRed', '--', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, , 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, , 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, , 0.0, 0.0, 0.0,0.0,0.004666396666683188,0.00489787999958935, 0.004601280000315455, 0.004697880000094301, 0.006504579999273119, 0.0038291800001388765, 0.003467580000688031,, , 2.00861617999999, , , ,0.9064211845397949,0.8066020011901855, 0.9741503000259399, , 0.8582770228385925, 0.9547613263130188, 0.9383155703544617,0.0696671812115522,-0.21481481481481482, -0.19814814814814816, '--', -0.20833333333333334, -0.17592592592592593, -0.2601851851851852,-0.1787037037037037, -0.1962962962962963, '--', -0.18518518518518517, -0.18333333333333332, -0.1398148148148148,124.30485026041667,92.41564178466797, 107.76332092285156, 121.5442123413086, 129.94268798828125, 142.42425537109375, 151.73898315429688,21.958572973694583,, , , , , ,5.0, 26.0, 45.0, 53.0, 70.0, 81.0
آبی,blue,1,imgBlue,6.0,125.86865234375,98.59833526611328, 101.78137969970703, 114.32872009277344, 135.50843811035156, 146.2733154296875, 158.72171020507812,24.680502788301546,, , , , , ,125.86865234375,98.59833526611328, 101.78137969970703, 114.32872009277344, 135.50843811035156, 146.2733154296875, 158.72171020507812,24.680502788301546,, , , , , ,125.86865234375,98.59833526611328, 101.78137969970703, 114.32872009277344, 135.50843811035156, 146.2733154296875, 158.72171020507812,24.680502788301546,, , , , , ,125.86865234375,98.59833526611328, 101.78137969970703, 114.32872009277344, 135.50843811035156, 146.2733154296875, 158.72171020507812,24.680502788301546,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.005754113333144535,0.005476180000187014, 0.009034379999320663, 0.002433279999422666, 0.005377179999413784, 0.0061775799995302805, 0.006026080000992806,, , , , , ,0.7048521041870117,0.5088509917259216, 0.5973665118217468, 0.6675208806991577, 0.7075110077857971, 1.0571622848510742, 0.6907010078430176,0.1874529250744441,-0.08611111111111111, -0.06481481481481481, -0.10833333333333334, -0.04259259259259259, -0.07222222222222222, -0.07222222222222222,-0.17314814814814813, -0.19907407407407407, -0.15833333333333333, -0.19166666666666668, -0.19166666666666668, -0.17407407407407408,125.86865234375,98.59833526611328, 101.78137969970703, 114.32872009277344, 135.50843811035156, 146.2733154296875, 158.72171020507812,24.680502788301546,, , , , , ,13.0, 18.0, 35.0, 60.0, 75.0, 89.0
آبی,green,0,imgGreen,6.0,126.66294352213542,99.73128509521484, 103.23124694824219, 117.29478454589844, 133.49252319335938, 145.73997497558594, 160.48785400390625,24.15293725086337,, , , , , ,126.66294352213542,99.73128509521484, 103.23124694824219, 117.29478454589844, 133.49252319335938, 145.73997497558594, 160.48785400390625,24.15293725086337,, , , , , ,126.66294352213542,99.73128509521484, 103.23124694824219, 117.29478454589844, 133.49252319335938, 145.73997497558594, 160.48785400390625,24.15293725086337,, , , , , ,126.66294352213542,99.73128509521484, 103.23124694824219, 117.29478454589844, 133.49252319335938, 145.73997497558594, 160.48785400390625,24.15293725086337,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.005197180000019823,0.005042779999712366, 0.0020099799994568457, 0.006858380000267061, 0.006135080000603921, 0.0030064800002946868, 0.008130379999784054,, , , , , ,0.5500195821126302,0.4582470953464508, 0.537525475025177, 0.6449447274208069, 0.6096857786178589, 0.5056353211402893, 0.5440793037414551,0.06805053972677697,0.058333333333333334, 0.04351851851851852, 0.03518518518518519, 0.032407407407407406, 0.02962962962962963, 0.027777777777777776,-0.18425925925925926, -0.19444444444444445, -0.14444444444444443, -0.18981481481481483, -0.19722222222222222, -0.2101851851851852,126.66294352213542,99.73128509521484, 103.23124694824219, 117.29478454589844, 133.49252319335938, 145.73997497558594, 160.48785400390625,24.15293725086337,, , , , , ,15.0, 20.0, 39.0, 57.0, 74.0, 91.0
